scenario,method,true,estimate,se,covered,rep,seed
Complete,Coarse locked state,1.0502293452036904,0.8638615093871721,0.10353730071052618,1,5,171735213
Complete,Design erasure,1.0502293452036904,0.9784339647829763,0.09462967738912628,1,5,171735213
Complete,Admissible refinement,1.0502293452036904,0.8354881665528234,0.09445823152920257,0,5,171735213
Complete,Mediator-as-state,1.0502293452036904,0.4769811012554612,0.10061716332022437,0,5,171735213
Complete,Post-action leakage,1.0502293452036904,0.6970370605650874,0.10382955240105339,0,5,171735213
Complete,Oracle state,1.0502293452036904,0.8609990908164405,0.09116613056992177,0,5,171735213
Observed-state MAR,Untyped naive contrast,1.052061738814646,1.8825351556302443,0.15890843961178808,0,5,171735213
Observed-state MAR,Coarse locked state,1.052061738814646,0.9794500941068425,0.12654643860414913,1,5,171735213
Observed-state MAR,Design erasure,1.052061738814646,1.1564407385756832,0.11716349088007612,1,5,171735213
Observed-state MAR,Admissible refinement,1.052061738814646,0.977140688699552,0.12096008655359838,1,5,171735213
Observed-state MAR,IPCW admissible refinement,1.052061738814646,0.9638908022141557,0.12142568754607115,1,5,171735213
Observed-state MAR,Mediator-as-state,1.052061738814646,0.6187812409050412,0.1316501745491635,0,5,171735213
Observed-state MAR,Post-action leakage,1.052061738814646,0.8008693133355923,0.1300043982580537,1,5,171735213
Observed-state MAR,Oracle state,1.052061738814646,0.993797148572808,0.11947654394086439,1,5,171735213
Complete,Untyped naive contrast,1.0494898461413664,1.9039147824090463,0.15040245138191602,0,6,1119767513
Complete,Coarse locked state,1.0494898461413664,1.1083980709372012,0.09413989556749984,1,6,1119767513
Complete,Design erasure,1.0494898461413664,1.2285065149758436,0.0896206986259635,0,6,1119767513
Complete,Admissible refinement,1.0494898461413664,1.0918445612180792,0.08832086616332593,1,6,1119767513
Complete,Mediator-as-state,1.0494898461413664,0.7053327831196471,0.09211200123808172,0,6,1119767513
Complete,Post-action leakage,1.0494898461413664,0.8596960481788463,0.09763526847624641,1,6,1119767513
Complete,Oracle state,1.0494898461413664,1.1062694383712153,0.08508979681319735,1,6,1119767513
Observed-state MAR,Untyped naive contrast,1.0627872050911173,1.7971017769158497,0.19978366679473838,0,6,1119767513
Observed-state MAR,Coarse locked state,1.0627872050911173,1.074615269343809,0.11840384936921398,1,6,1119767513
Observed-state MAR,Design erasure,1.0627872050911173,1.2363702042524425,0.12128633677685097,1,6,1119767513
