variant,method,true,estimate,se,covered,rep,seed
Outcome compression,Design erasure,1.0259901438178598,0.9631807431872743,0.09385013610580574,1,4,2391577315
Outcome compression,Admissible refinement,1.0259901438178598,0.8956844684469841,0.09724616234566452,1,4,2391577315
Outcome compression,Oracle state,1.0259901438178598,0.8978583668145935,0.08992565358782244,1,4,2391577315
Nonclassical representation,Design erasure,1.0770154001558283,1.1787539919095622,0.09153302359540758,1,4,2391577315
Nonclassical representation,Admissible refinement,1.0770154001558283,1.134533248850771,0.09101967589696111,1,4,2391577315
Nonclassical representation,Oracle state,1.0770154001558283,1.1271387739612448,0.08754315302651187,1,4,2391577315
Baseline,Design erasure,1.027742197507625,1.0977034056745538,0.08230578742646132,1,5,3667266603
Baseline,Admissible refinement,1.027742197507625,0.8643133871661505,0.08455729779574575,1,5,3667266603
Baseline,Oracle state,1.027742197507625,0.8890279529299041,0.08159186322674394,1,5,3667266603
Positivity stress,Design erasure,1.0524381504512497,1.436475470765115,0.110456031139703,0,5,3667266603
Positivity stress,Admissible refinement,1.0524381504512497,1.2079807132079283,0.11521079778233535,1,5,3667266603
Positivity stress,Oracle state,1.0524381504512497,1.1874753091350148,0.10954986339270499,1,5,3667266603
Outcome compression,Design erasure,1.0642082278366145,1.0709660088564374,0.08449905904007796,1,5,3667266603
Outcome compression,Admissible refinement,1.0642082278366145,1.034127795554939,0.08713749248936854,1,5,3667266603
Outcome compression,Oracle state,1.0642082278366145,1.051621719922673,0.087310789537839,1,5,3667266603
Nonclassical representation,Design erasure,1.0976769706531762,1.1109097763851374,0.07816425367285423,1,5,3667266603
Nonclassical representation,Admissible refinement,1.0976769706531762,1.1045273740362462,0.07745797743546032,1,5,3667266603
Nonclassical representation,Oracle state,1.0976769706531762,1.0554280179936995,0.07657456355832937,1,5,3667266603
Baseline,Design erasure,1.0974298834464595,1.074617468551743,0.09113266143916539,1,6,3177514416
Baseline,Admissible refinement,1.0974298834464595,0.9445437062526528,0.08921947584059187,1,6,3177514416
Baseline,Oracle state,1.0974298834464595,0.9492405702932871,0.0861912124537467,1,6,3177514416
Positivity stress,Design erasure,1.0942590605780023,1.2788443861879422,0.09867675709491769,1,6,3177514416
Positivity stress,Admissible refinement,1.0942590605780023,1.0210689112515656,0.10276874627281436,1,6,3177514416
Positivity stress,Oracle state,1.0942590605780023,1.0485186638825976,0.1013982545314689,1,6,3177514416
Outcome compression,Design erasure,1.090776844084477,1.1734112717629817,0.09838614077263681,1,6,3177514416
Outcome compression,Admissible refinement,1.090776844084477,1.1084436839794927,0.0999749008573383,1,6,3177514416
Outcome compression,Oracle state,1.090776844084477,1.0836966186234471,0.09902490553798994,1,6,3177514416
Nonclassical representation,Design erasure,1.0921529648108599,1.0616354513424164,0.09942031492904335,1,6,3177514416
Nonclassical representation,Admissible refinement,1.0921529648108599,1.0036185101643218,0.10075244727446164,1,6,3177514416
Nonclassical representation,Oracle state,1.0921529648108599,1.0090233544809837,0.09477003693828528,1,6,3177514416
Baseline,Design erasure,1.0630969326394568,1.1931970535220129,0.10646360564407484,1,7,3639054529
Baseline,Admissible refinement,1.0630969326394568,1.0471631479239976,0.10414881382445146,1,7,3639054529
Baseline,Oracle state,1.0630969326394568,1.0556298436881115,0.10445956178679576,1,7,3639054529
Positivity stress,Design erasure,1.1167077267311019,1.3591388001610738,0.10053891549299117,0,7,3639054529
Positivity stress,Admissible refinement,1.1167077267311019,1.0932874366373886,0.09527115565901088,1,7,3639054529
Positivity stress,Oracle state,1.1167077267311019,1.0748188934810436,0.0953258455140662,1,7,3639054529
Outcome compression,Design erasure,1.041635257490347,1.0278654475783804,0.08452912217215328,1,7,3639054529
Outcome compression,Admissible refinement,1.041635257490347,0.9560048052810376,0.08735284638775907,1,7,3639054529
